pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
4 UMa b,4 UMa,1,1,Radial Velocity,2006.0,270.27,0.739335926,0.877,0.453,,2511.480072,,4415.0,18.11,1.234,73.4603,967.3900474,111.8020025,145.3618346
47 UMa b,47 UMa,1,3,Radial Velocity,1996.0,1078.0,2.955806566,2.1,0.032,,804.08,,5872.0,1.21334,1.06,13.7967,215.2182698,1.570359434,0.356090575
47 UMa c,47 UMa,1,3,Radial Velocity,2001.0,2391.0,6.634387262,3.6,0.098,,171.621,,5872.0,1.21334,1.06,13.7967,164.3756687,1.570359434,0.121169709
47 UMa d,47 UMa,1,3,Radial Velocity,2009.0,14002.0,38.37373315,11.6,0.16,,521.22,,5872.0,1.21334,1.06,13.7967,91.57138619,1.570359434,0.011670329
51 Eri b,51 Eri,3,1,Imaging,2015.0,9100.0,25.35309505,10.4,0.57,,3464.329636,,,,1.75,29.7575,0.0,0.0,0.0
51 Peg b,51 Peg,1,1,Radial Velocity,1995.0,4.230785,0.011920578,0.0527,0.013,,150.009,,5758.0,1.17561,1.03,15.4614,1311.322362,1.363022533,490.7742917
55 Cnc B b,55 Cnc B,2,7,Radial Velocity,2025.0,6.7994,0.018100574,0.044,0.0,,3.5,,3286.0,0.274,0.26,12.4773,395.3920937,0.007853463,4.056540899
55 Cnc B c,55 Cnc B,2,7,Radial Velocity,2025.0,33.747,0.091923882,0.13,0.0,,5.3,,3286.0,0.274,0.26,12.4773,230.0290273,0.007853463,0.464701963
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996.0,14.651552,0.040233702,0.118,0.0029,,276.0,,5198.0,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004.0,44.3936,0.121846318,0.247,0.088,,56.6,,5198.0,0.98,1.015,12.5855,499.2433802,0.629052803,10.31081977
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002.0,4799.0,13.15373292,5.6,0.0913,,1214.104515,,5198.0,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004.0,0.7365474,0.002016725,0.01544,0.05,1.875,7.99,6.678740385,5172.0,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879
