pl_name,sy_plx
BD-13 2130 b,1.05402
BD-13 2130 b,1.05402
BD-14 3065 b,1.66848
BD-14 3065 b,1.66848
BD-17 63 b,28.9903
BD-17 63 b,28.9903
BD-17 63 b,28.9903
BD-17 63 b,28.9903
BD-210397 b,42.1075
BD-210397 c,42.1075
BD-210397 c,42.1075
BD-210397 c,42.1075
BEBOP-3 b,8.37084
BEBOP-4 AB b,4.23969
Barnard b,547.451
Barnard b,547.451
Barnard c,547.451
Barnard d,547.451
Barnard e,547.451
CD Cet b,116.154
CD-35 2722 b,44.6346
CD-35 2722 b,44.6346
CHXR 73 b,5.23435
CI Tau c,6.30079
COCONUTS-2 b,91.8291
COCONUTS-2 b,91.8291
CT Cha b,5.21444
CoRoT-1 b,1.24176
CoRoT-1 b,1.24176
CoRoT-1 b,1.24176
CoRoT-1 b,1.24176
CoRoT-1 b,1.24176
CoRoT-1 b,1.24176
CoRoT-1 b,1.24176
CoRoT-10 b,2.92694
CoRoT-10 b,2.92694
CoRoT-10 b,2.92694
CoRoT-10 b,2.92694
CoRoT-11 b,1.50071
CoRoT-11 b,1.50071
CoRoT-11 b,1.50071
CoRoT-11 b,1.50071
CoRoT-11 b,1.50071
CoRoT-11 b,1.50071
CoRoT-11 b,1.50071
CoRoT-12 b,0.861234
CoRoT-12 b,0.861234
CoRoT-12 b,0.861234
CoRoT-12 b,0.861234
CoRoT-12 b,0.861234
CoRoT-12 b,0.861234
CoRoT-13 b,0.843947
CoRoT-13 b,0.843947
CoRoT-13 b,0.843947
CoRoT-13 b,0.843947
CoRoT-13 b,0.843947
CoRoT-14 b,0.547358
CoRoT-14 b,0.547358
CoRoT-14 b,0.547358
CoRoT-16 b,1.34056
CoRoT-16 b,1.34056
CoRoT-17 b,0.82338
CoRoT-17 b,0.82338
CoRoT-17 b,0.82338
CoRoT-18 b,1.28063
CoRoT-18 b,1.28063
CoRoT-18 b,1.28063
CoRoT-18 b,1.28063
CoRoT-18 b,1.28063
CoRoT-18 b,1.28063
CoRoT-19 b,1.23764
CoRoT-19 b,1.23764
CoRoT-19 b,1.23764
CoRoT-19 b,1.23764
CoRoT-19 b,1.23764
CoRoT-19 b,1.23764
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-2 b,4.66076
CoRoT-20 b,1.15699
CoRoT-20 b,1.15699
CoRoT-20 b,1.15699
CoRoT-20 b,1.15699
CoRoT-20 b,1.15699
CoRoT-20 b,1.15699
CoRoT-20 c,1.15699
CoRoT-22 b,1.56624
CoRoT-23 b,0.91542
CoRoT-23 b,0.91542
CoRoT-23 b,0.91542
CoRoT-24 b,1.66329
CoRoT-24 c,1.66329
CoRoT-25 b,0.878853
CoRoT-25 b,0.878853
CoRoT-27 b,0.96604
CoRoT-27 b,0.96604
CoRoT-28 b,1.27685
CoRoT-28 b,1.27685
CoRoT-29 b,1.21562
CoRoT-29 b,1.21562
CoRoT-29 b,1.21562
CoRoT-3 b,1.27472
CoRoT-3 b,1.27472
CoRoT-3 b,1.27472
CoRoT-3 b,1.27472
CoRoT-3 b,1.27472
CoRoT-30 b,0.942447
CoRoT-31 b,0.470026
CoRoT-32 b,1.70589
CoRoT-32 b,1.70589
CoRoT-35 b,0.863975
CoRoT-36 b,1.05227
CoRoT-4 b,1.34844
CoRoT-4 b,1.34844
CoRoT-4 b,1.34844
CoRoT-4 b,1.34844
CoRoT-5 b,1.1054
CoRoT-5 b,1.1054
CoRoT-5 b,1.1054
CoRoT-5 b,1.1054
CoRoT-5 b,1.1054
CoRoT-5 b,1.1054
CoRoT-6 b,1.52152
CoRoT-6 b,1.52152
CoRoT-6 b,1.52152
CoRoT-6 b,1.52152
CoRoT-7 b,6.22504
CoRoT-7 b,6.22504
CoRoT-7 b,6.22504
CoRoT-7 b,6.22504
CoRoT-7 b,6.22504
CoRoT-7 b,6.22504
CoRoT-7 b,6.22504
CoRoT-7 b,6.22504
CoRoT-7 c,6.22504
CoRoT-7 c,6.22504
CoRoT-7 c,6.22504
CoRoT-7 d,6.22504
CoRoT-8 b,3.07662
CoRoT-8 b,3.07662
CoRoT-8 b,3.07662
CoRoT-8 b,3.07662
CoRoT-9 b,2.39295
CoRoT-9 b,2.39295
CoRoT-9 b,2.39295
CoRoT-9 b,2.39295
CoRoT-9 b,2.39295
DE CVn b,32.7338
DH Tau b,7.38799
DH Tau b,7.38799
DMPP-1 b,15.9613
DMPP-1 b,15.9613
DMPP-1 c,15.9613
DMPP-1 c,15.9613
DMPP-1 d,15.9613
DMPP-1 d,15.9613
DMPP-1 e,15.9613
DMPP-2 b,7.22084
DMPP-2 b,7.22084
DMPP-2 c,7.22084
DMPP-2 d,7.22084
DMPP-3 A b,21.2977
DMPP-3 A b,22.11
DMPP-3 A b,22.11
DMPP-4 b,39.4525
DMPP-6 b,18.2759
DMPP-6 c,18.2759
DMPP-7 b,9.83482
DMPP-8 b,13.106
DMPP-9 b,9.10029
DP Leo b,3.27807
DP Leo b,3.27807
DS Tuc A b,22.6663
DS Tuc A b,22.6663
DS Tuc A b,22.6663
EPIC 201238110 b,6.25088
EPIC 201238110 b,6.25088
EPIC 201427007 b,1.38704
EPIC 201497682 b,3.92339
EPIC 201595106 b,4.28034
EPIC 201595106 b,4.28034
EPIC 201595106 b,4.28034
EPIC 201595106 b,4.28034
EPIC 201615463 c,2.06877
EPIC 201754305 d,2.95691
EPIC 201833600 c,3.85616
EPIC 201833600 c,3.85616
EPIC 201841433 b,2.26274
EPIC 201841433 b,2.26274
EPIC 201841433 b,2.26274
EPIC 205950854 c,4.07235
EPIC 205950854 c,4.07235
EPIC 205950854 c,4.07235
EPIC 206024342 b,2.67518
EPIC 206024342 b,2.67518
EPIC 206024342 c,2.67518
EPIC 206024342 c,2.67518
EPIC 206024342 c,2.67518
EPIC 206024342 d,2.67518
EPIC 206024342 d,2.67518
EPIC 206024342 d,2.67518
EPIC 206024342 d,2.67518
EPIC 206032309 b,6.1694
EPIC 206042996 b,2.18689
EPIC 206042996 b,2.18689
EPIC 206042996 b,2.18689
EPIC 206042996 c,2.18689
EPIC 206042996 c,2.18689
EPIC 206215704 b,9.0727
EPIC 206215704 b,9.0727
EPIC 206215704 b,9.0727
EPIC 206317286 b,3.15254
EPIC 206317286 b,3.15254
EPIC 206317286 c,3.15254
EPIC 206317286 c,3.15254
EPIC 206317286 c,3.15254
EPIC 211822797 b,5.34209
EPIC 211822797 b,5.34209
EPIC 211822797 b,5.34209
EPIC 211822797 b,5.34209
EPIC 211822797 b,5.34209
EPIC 211822797 b,5.34209
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 211945201 b,5.47529
EPIC 212297394 b,2.36212
EPIC 212297394 b,2.36212
EPIC 212297394 b,2.36212
EPIC 212297394 c,2.36212
EPIC 212297394 c,2.36212
EPIC 212297394 c,2.36212
EPIC 212424622 b,1.606
EPIC 212424622 b,1.606
EPIC 212499991 b,3.50124
EPIC 212587672 b,3.09713
EPIC 212587672 b,3.09713
EPIC 212587672 b,3.09713
EPIC 212587672 c,3.09713
EPIC 212587672 c,3.09713
EPIC 212587672 c,3.09713
EPIC 212587672 c,3.09713
EPIC 212587672 c,3.09713
EPIC 212587672 c,3.09713
EPIC 212624936 b,1.75111
EPIC 212624936 c,1.75111
EPIC 212624936 c,1.75111
EPIC 212737443 b,2.94582
EPIC 212737443 b,2.94582
EPIC 212737443 b,2.94582
EPIC 212737443 c,2.94582
EPIC 220492298 b,1.57248
EPIC 220554210 c,1.98627
EPIC 220554210 c,1.98627
EPIC 220554210 c,1.98627
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 b,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 220674823 c,4.06029
EPIC 228836835 b,6.63375
EPIC 228836835 b,6.63375
EPIC 229004835 b,8.17036
EPIC 229004835 b,8.17036
EPIC 229004835 b,8.17036
EPIC 229004835 b,8.17036
EPIC 246851721 b,2.66391
EPIC 246851721 b,2.66391
EPIC 246851721 b,2.66391
EPIC 248847494 b,1.78346
EPIC 249893012 b,3.08429
EPIC 249893012 c,3.08429
EPIC 249893012 d,3.08429
G 192-15 b,104.89
G 192-15 c,104.89
G 196-3 b,45.8611
G 261-6 b,94.0738
G 264-012 b,62.4358
G 264-012 c,62.4358
G 9-40 b,35.7781
G 9-40 b,35.7781
G 9-40 b,35.7781
G 9-40 b,35.7781
