pl_name,star_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth received flux),sy_plx
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,216553.5185,592.8912211,52,,5273.995968,7786.5,2.92E-07,3530,0.480449774,0.4,33.8281,16.36094967,0.032157676,1.19E-05,29.5326
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,216553.5185,592.8912211,52,,5273.995968,7786.5,2.92E-07,3530,0.480449774,0.4,33.8281,16.36094967,0.032157676,1.19E-05,29.5326
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,2165535.185,5928.912211,156,,16.14096,4417.837,5.788595508,3064,0.281,0.108,,6.270340143,0.006243923,2.57E-07,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406,1.11156742,0.840177316,0.33,329.7838895,591.160837,9.08E-05,29564,0.203,0.48,396.332,700.7082249,28.24455263,40.01223369,2.49522
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406,1.11156742,0.840177316,0.33,329.7838895,591.160837,9.08E-05,29564,0.203,0.48,396.332,700.7082249,28.24455263,40.01223369,2.49522
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,1644774.459,4503.147048,230,,2558.032418,3972.875,1.31E-06,4045,0.664539806,0.6,69.5737,10.48398973,0.106073269,2.01E-06,14.3444
4 UMa b,4 UMa,1,1,Radial Velocity,2006,270.27,0.739958932,0.877,0.453,1562.209234,2511.480072,3.63E-06,4415,18.11,1.234,73.4603,967.3900474,111.8020025,145.3618346,13.5901
4 UMa b,4 UMa,1,1,Radial Velocity,2006,270.27,0.739958932,0.877,0.453,1562.209234,2511.480072,3.63E-06,4415,18.11,1.234,73.4603,967.3900474,111.8020025,145.3618346,13.5901
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078,2.951403149,2.1,0.032,459.0695353,804.08,4.58E-05,5872,1.21334,1.06,13.7967,215.2182698,1.570359434,0.356090575,72.4528
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078,2.951403149,2.1,0.032,459.0695353,804.08,4.58E-05,5872,1.21334,1.06,13.7967,215.2182698,1.570359434,0.356090575,72.4528
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078,2.951403149,2.1,0.032,459.0695353,804.08,4.58E-05,5872,1.21334,1.06,13.7967,215.2182698,1.570359434,0.356090575,72.4528
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078,2.951403149,2.1,0.032,459.0695353,804.08,4.58E-05,5872,1.21334,1.06,13.7967,215.2182698,1.570359434,0.356090575,72.4528
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078,2.951403149,2.1,0.032,459.0695353,804.08,4.58E-05,5872,1.21334,1.06,13.7967,215.2182698,1.570359434,0.356090575,72.4528
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078,2.951403149,2.1,0.032,459.0695353,804.08,4.58E-05,5872,1.21334,1.06,13.7967,215.2182698,1.570359434,0.356090575,72.4528
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391,6.546201232,3.6,0.098,87.22975958,171.621,0.001424715,5872,1.21334,1.06,13.7967,164.3756687,1.570359434,0.121169709,72.4528
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391,6.546201232,3.6,0.098,87.22975958,171.621,0.001424715,5872,1.21334,1.06,13.7967,164.3756687,1.570359434,0.121169709,72.4528
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391,6.546201232,3.6,0.098,87.22975958,171.621,0.001424715,5872,1.21334,1.06,13.7967,164.3756687,1.570359434,0.121169709,72.4528
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391,6.546201232,3.6,0.098,87.22975958,171.621,0.001424715,5872,1.21334,1.06,13.7967,164.3756687,1.570359434,0.121169709,72.4528
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002,38.33538672,11.6,0.16,288.0240869,521.22,0.000120195,5872,1.21334,1.06,13.7967,91.57138619,1.570359434,0.011670329,72.4528
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002,38.33538672,11.6,0.16,288.0240869,521.22,0.000120195,5872,1.21334,1.06,13.7967,91.57138619,1.570359434,0.011670329,72.4528
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.011583258,0.0527,0.013,75.47651977,150.009,0.001922354,5758,1.17561,1.03,15.4614,1311.322362,1.363022533,490.7742917,64.6488
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.011583258,0.0527,0.013,75.47651977,150.009,0.001922354,5758,1.17561,1.03,15.4614,1311.322362,1.363022533,490.7742917,64.6488
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.011583258,0.0527,0.013,75.47651977,150.009,0.001922354,5758,1.17561,1.03,15.4614,1311.322362,1.363022533,490.7742917,64.6488
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.011583258,0.0527,0.013,75.47651977,150.009,0.001922354,5758,1.17561,1.03,15.4614,1311.322362,1.363022533,490.7742917,64.6488
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.011583258,0.0527,0.013,75.47651977,150.009,0.001922354,5758,1.17561,1.03,15.4614,1311.322362,1.363022533,490.7742917,64.6488
55 Cnc B b,55 Cnc B,2,7,Radial Velocity,2025,6.7994,0.018615743,0.044,0,1.405544426,3.5,6.945218468,3286,0.274,0.26,12.4773,395.3920937,0.007853463,4.056540899,80.1166
55 Cnc B c,55 Cnc B,2,7,Radial Velocity,2025,33.747,0.092394251,0.13,0,1.573309246,5.3,7.498686261,3286,0.274,0.26,12.4773,230.0290273,0.007853463,0.464701963,80.1166
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,14.651552,0.040113763,0.118,0.0029,145.3898859,276,0.000494832,5198,0.98,1.015,12.5855,722.3036142,0.629052803,45.17759288,79.4274
